foot speed stride_length step_width cadence
0 0.889769 1.138156 0.023876 93.506494
0 1.225792 1.118196 0.12135 130.909091
0 1.302719 1.171374 0.100382 133.333333
0 1.244743 1.277641 0.083653 118.032787
0 0.619123 0.9295 0.121616 77.419355
0 0.945384 1.230689 0.083809 93.385214
0 1.407447 1.264536 0.071228 135.59322
0 1.454331 1.262614 0.044543 141.176471
1 2.057419 1.62045 0.059854 155.844156
0 0.793852 0.911879 0.134319 104.803493
0 0.988368 1.27336 0.088001 91.139241
0 0.992714 1.327298 0.062783 87.804878
0 1.320457 1.292895 0.172584 124.137931
1 2.122989 1.568682 0.070022 158.940397
0 1.196743 1.111533 0.097558 128.571429
0 0.77008 1.286584 0.091971 70.588235
0 1.264061 1.363563 0.120364 110.769231
1 1.180595 1.111018 0.060332 126.315789
1 0.663913 1.093624 0.076155 72.289157
0 1.345768 1.216602 0.1096 130.909091
1 0.943848 1.124245 0.101555 100
1 0.619416 1.154253 0.060678 64.516129
0 1.279419 0.994978 0.053029 144
1 0.91492 1.210249 0.106077 92.307692
0 1.169695 1.398214 0.130773 100
0 1.075284 1.326916 0.090871 95.238095
0 1.038065 1.310216 0.067636 91.603053
0 1.267675 1.336267 0.094803 113.207547
0 1.419302 1.417274 0.189104 120
0 1.151092 1.310621 0.098428 104.347826
0 1.347404 1.132893 0.138204 144
0 2.149475 1.667456 0.110159 154.83871
1 1.193435 1.237103 0.085145 116.504854
1 0.987518 1.142793 0.106781 104.347826
0 0.975005 1.229819 0.176296 94.736842
0 1.48694 1.483765 0.180376 122.033898
0 0.912185 1.15771 0.110609 93.506494
0 1.123687 1.286196 0.069684 103.448276
1 1.019061 1.276661 0.078238 93.023256
0 0.635493 1.089809 0.118402 71.599045
0 1.718893 1.301294 0.077869 156.521739
0 1.170935 1.295746 0.12914 105.882353
0 0.759503 1.162929 0.092324 77.922078
0 2.129598 1.739561 0.094096 146.938776
0 1.115904 1.045215 0.100663 130.909091
0 1.501077 1.47892 0.118077 121.827411
1 1.155088 1.448442 0.126957 96.774194
0 2.101277 1.791851 0.085686 139.534884
0 0.842798 1.024944 0.009206 97.297297
0 1.173171 1.445302 0.090374 98.765432
0 1.145714 1.132975 0.078274 123.076923
0 1.226833 1.351606 0.128011 107.462687
1 1.820654 1.708464 0.093306 128.342246
1 1.261646 1.348279 0.085337 114.285714
0 1.535409 1.170249 0.064251 158.940397
0 1.227215 1.420816 0.078796 102.12766
0 1.864982 1.538332 0.067393 146.341463
0 0.851702 1.02274 0.087335 102.12766
0 1.695552 1.420848 0.08687 144
0 1.045557 1.203156 0.118675 102.12766
0 1.085135 1.343804 0.13993 98.630137
1 2.038672 1.752043 0.095902 137.931034
1 1.314543 1.363041 0.106699 115.942029
1 1.421837 1.224548 0.046033 141.176471
0 1.523319 1.446013 0.089732 126.315789
0 1.097926 1.285334 0.112535 102.857143
0 1.746039 1.442643 0.069241 147.239264
0 1.397368 1.407814 0.116724 118.032787
0 1.052884 1.201631 0.097478 105.882353
1 0.818022 1.157559 0.093406 85.409253
0 0.877288 1.109035 0.045256 96
0 0.702552 1.077868 0.121155 80.536913
0 1.427107 1.494113 0.091504 112.676056
0 0.872368 1.133885 0.106977 93.023256
0 0.898108 1.131745 0.056882 96
1 0.832169 1.281366 0.115135 76.923077
0 1.204069 1.240978 0.060794 116.27907
0 0.653215 1.111741 0.078921 70.79646
0 1.650636 1.165121 0.057127 163.636364
0 1.569938 1.676155 0.114929 113.207547
0 1.43331 1.150311 0.069501 153.191489
0 1.483067 1.303836 0.102279 138.461538
0 0.746853 1.152004 0.077989 76.677316
1 1.361919 1.256995 0.145086 130.909091
1 1.36023 1.498122 0.092899 110.091743
1 1.039829 1.284422 0.114264 97.165992
0 1.72222 1.312866 0.077729 160
0 1.165617 1.303794 0.113893 105.882353
0 0.813239 1.079761 0.111373 88.888889
1 2.065132 1.635469 0.078113 151.898734
0 1.2399 1.341086 0.089163 110.769231
0 1.380016 1.447416 0.117296 112.676056
0 0.997215 1.262205 0.117601 94.86166
1 1.400961 1.454543 0.108737 115.384615
0 1.111629 1.003614 0.058002 133.333333
0 1.269097 1.321878 0.08646 115.384615
0 1.138883 1.311215 0.107485 105.263158
1 2.125528 1.607611 0.121968 158.940397
0 1.154278 1.369201 0.110628 102.564103
0 1.091738 0.981964 0.155475 128.571429
1 1.575219 1.682166 0.096256 110.599078
0 1.166781 1.258763 0.092244 111.111111
0 1.152041 1.421126 0.133037 100
0 1.77267 1.231701 0.078316 171.428571
0 1.004724 1.286244 0.10426 93.75
1 0.449106 1.071349 0.109548 49.586777
0 2.115945 1.614327 0.088257 156.862745
0 2.066991 1.616446 0.092291 150.943396
0 1.076304 1.020544 0.04077 128.571429
0 1.831057 1.675114 0.084692 130.434783
0 0.884574 1.078246 0.043783 100
1 1.298035 1.244896 0.088663 125
0 1.39258 1.526029 0.143395 109.090909
1 1.133099 1.304351 0.057044 104.895105
0 1.510866 1.362856 0.096737 135.849057
0 0.469497 0.823464 0.123004 69.565217
0 1.141066 1.233373 0.12383 109.090909
1 0.941185 1.226524 0.09392 93.506494
1 0.95424 1.25396 0.075813 90.225564
0 1.032524 1.2498 0.151947 97.297297
1 0.858036 1.129683 0.092756 90.909091
0 0.914021 1.238823 0.104029 89.88764
0 0.95994 1.252186 0.075263 90.566038
1 0.586227 1.027052 0.070039 67.988669
0 1.084415 1.307691 0.130304 100
0 1.323918 1.360672 0.072993 116.129032
0 0.677357 1.027689 0.13299 78.947368
0 2.039098 1.603259 0.0777 152.866242
0 1.163997 1.020291 0.069662 133.333333
0 1.223864 1.187114 0.054699 124.352332
0 1.450048 1.454383 0.126756 118.032787
0 1.270084 1.330274 0.072977 112.676056
1 0.982466 1.297058 0.074843 88.560886
0 0.744043 0.910772 0.11436 98.360656
1 1.902647 1.589871 0.061547 148.148148
0 1.160032 1.364047 0.093201 103.092784
1 1.117051 1.352596 0.124137 97.297297
0 1.113788 1.268914 0.104317 104.347826
1 0.918107 1.236664 0.037689 88.888889
0 1.001376 1.272679 0.110284 93.506494
0 0.917493 1.060056 0.046363 103.004292
0 1.562495 1.562674 0.123945 122.033898
0 1.044091 1.149037 0.09472 109.090909
0 0.937128 1.148905 0.098248 97.165992
0 1.385833 1.509992 0.053721 110.769231
0 1.405283 1.197135 0.090001 141.176471
1 1.01515 1.234245 0.146385 98.630137
0 1.196613 1.269721 0.070098 112.781955
0 1.54301 1.364528 0.145478 135.849057
0 0.905099 0.946418 0.117148 119.402985
